Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Total Resource Shared,67.19440735809377,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,3682128.0,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,1755810.234461255,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,1.8248797260196757e-05,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,0.4768466045887745,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,3.826827901158795e-05,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.24971462178162815,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,15.939063467948976,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,14745600.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,16630659.331964126,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,1.0809369213832586e-06,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,1.1278387676299455,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,9.58413486415463e-07,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,1.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,1.3587624909296214,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,9577664.0,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,14163208.867565613,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,1.4186783864307846e-07,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,1.4787748732431638,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,9.593605328287842e-08,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.6495269097222223,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,4.255580807978363,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,2432952.0,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,2802728.5090344483,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,1.7491429374596633e-06,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,1.1519867671184834,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,1.5183683802128547e-06,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.1649951171875,Cell Parent,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,15.939063467948976,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,14745600.0,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,16630659.331964126,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,1.0809369213832586e-06,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,1.1278387676299455,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,9.58413486415463e-07,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,1.0,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,4.394676067339949,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,10219664.0,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,14443913.388324225,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,4.3002158068405666e-07,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,1.4133452321254618,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,3.042578982630491e-07,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.6930653211805555,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,14.580300977019347,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,5167936.0,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
