Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Mean Source Stockpile,0.7979870710967225,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.0031704084376787743,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,1.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,2905.7316394259465,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,4081664.0,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,2028317.9417899272,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.0007118987842766936,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,0.49693407928480327,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.001430532578679602,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,0.2768055555555556,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,19412.731048532853,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,2277064.0,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,2418439.364952085,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.00852533396010514,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,1.0620866892419734,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.007963047093948038,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,0.15442328559027776,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,31486.015540155233,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,4554128.0,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,4256003.231994219,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.0069137309140531915,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,0.9345374640313622,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.007343695510901172,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,0.30884657118055553,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,1706.7905632220304,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,5375264.0,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,5070580.173513548,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.00031752683463026756,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,0.9433174209701233,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.00033649329687179694,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,0.3645334201388889,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,12073.284491623388,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,2277064.0,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,1837563.867044978,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.005302127868001685,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,0.8069882388219998,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.006527379968332387,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,0.15442328559027776,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,69893.63749493736,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Relationship Incidence,14745536.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Source Stockpile,18810452.648836777,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Rate,0.004739986223283939,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Mean Source Stockpile,1.275670999605357,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Ratio,0.0037019256127487628,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Relationship Frequency,1.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Resource Shared,39153.56115808617,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Relationship Incidence,2862752.0,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Source Stockpile,5219578.222344804,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Rate,0.01367689592325363,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Mean Source Stockpile,1.8232729284076314,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Ratio,0.007445437943976224,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Relationship Frequency,0.19414363777620564,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Resource Shared,67477.84928850346,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Relationship Incidence,5725504.0,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Total Source Stockpile,9210541.708643315,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Rate,0.011785486358668768,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Mean Source Stockpile,1.6086866254295369,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
Resource Transfer Ratio,0.0072728720679206115,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1005
